"_","Id","LearningCourse","LearningCourse.Name","LearningCourse.Description","LearningCourse.CourseLearningOutcomes__c","LearningCourse.CourseCode__c","LearningCourse.ParentProvider__c","AcademicSession","AcademicSession.Name"
"[CourseOffering]","0P0Vg00000001f2KAA","[LearningCourse]","Special Topics in Business","","TBD by the instructor and specific topic taught.","BUS696","School of Business","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000001kTKAQ","[LearningCourse]","Korea Exchange","","Upon successful completion of this course, students will be able to: –; –; –; –; –; –.","KOREA EXCHANGE","","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000001laKAA","[LearningCourse]","Democratization and Survival of Autocrats","Over the last forty years, the world has experienced waves of transitions to democracy from autocratic political
regimes. While some several cases adopted hybrid forms of government, some others have achieved democratic
consolidation. On the other hand, we currently observe that many established democracies experience declines in
freedom, while emboldened autocracies step up their repression at home. This course gives a broad overview of
the literature explaining these different patterns of democratization and reversals from a comparative perspective.
Based on observational data, the course uncovers all different approaches on the causal inferences of democratic
transitions, democratic consolidation and democratic declines such as the structural, international, cultural,
institutional and rational-choice explanations.","<p>Upon completion of this course, students will be able to:</p><ul><li>Differentiate and give examples for the varying meanings of the concepts such as a “democratic transition,” “democratic consolidation,” “democratic decline” and “democratic breakdown” across space and time;</li><li>Analyze the constitutive and causal factors for democratization and democratic declines in different contexts;</li><li>Bring together the theories of transition, consolidation, regression or breakdown of democracy with empirical observations from different case;</li><li>Develop and defend original arguments in the study of democratization in class discussions and the final research papers;</li><li>Write a research paper with academic quality assessing the explanatory power of the theories of democratization.</li></ul>","IRS390","School of International Relations and Diplomacy","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000001m2KAA","[LearningCourse]","Media & the War on Terror","This course is designed to introduce students to the field of media studies through a broad approach that utilizes
critical methodologies from various disciplines, including literature, history, political science, philosophy, and film
studies. The course will focus on the topic of the “War on Terror,” which reveals itself as an especially interesting
media event during a pivotal phase of media development that witnessed the rise of the Internet and the spread of
social media. Students will consider both secondary source analyses (articles, essays) and primary sources such as
literature, art, and film.","<p>Upon completion of this course, students will be able to:</p><ul><li>Demonstrate a basic understanding of the historical events and context of the “War on Terror” ;</li><li>Evaluate the relationship between mainstream and independent media and the war;</li><li>Critique the construction of the narrative of the war and issues of narrative and rhetoric in general;</li><li>Assess the relationship between the “War on Terror” and the rise of the political Internet;</li><li>Apply/critique the notion of media spectacle to specific events and people related to the War on terror;</li><li>Conduct independent research on one of the course topics;</li><li>Express well-reasoned arguments orally and in written form.</li></ul>","FMS310","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000001meKAA","[LearningCourse]","Writing for Social Media - News Lab","There’s an art to communicating effectively on social media, and not everyone gets it right. This course is designed
to help students polish their writing skills, not just for writing news, but specifically news on social media.
Focusing mainly on Facebook, Instagram, Twitter, YouTube, and TikTok, this course covers how people read
online/on mobile and how to write effectively for the different platforms. It will provide practical guidance on how
to increase discoverability, engagement and shareability. Although this is not a search engine optimization (SEO)
course, some SEO will be discussed. However, it does not cover writing for websites such as Substack or Medium.","<p>Upon completion of this course, students will be able to:</p><ul><li>Write to get noticed in the right way;</li><li>Write about and where to find great creative ideas;</li><li>Write for their audience, not at them;</li><li>Catch the eye, hold attention and stop people scrolling;</li><li>Understand what makes a great Tweet or Instagram caption;</li><li>Search social media to find the right keywords and best hashtags;</li><li>Quick ways to monitor competition and conversations;</li><li>Choose their words to develop a clear style and tone of voice;</li><li>Attract and maintain attention.</li></ul>","JRN215","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000001n9KAA","[LearningCourse]","European History II: The Making of Modern Europe","This course provides an overview of European History from approximately 1500 to 2000. It discusses politics,
economics and the sacred in the Renaissance and Reformation; the French Revolution; the Industrial Revolution;
the creation of national identities and states; the First World War; the inter-war period; World War II; the post-
war Soviet Bloc, and Western Europe in the post-war era. Instruction is via reading, class presentations and both
teacher- and student-led discussions and the study of documentaries and podcasts. The key concerns of these
different activities are to facilitate the in-depth exploration of important problems in modern European history and
to encourage the intellectual development of each student.","<p>Upon completion of this course, students will be able to:</p><ul><li>Identify the outline historical ‘facts’ that have defined Europe from the Renaissance to the twenty-first century;</li><li>Describe decisive political, economic, social and political forces which have shaped modern Europe;</li><li>Reflect on knowledge gained in terms of alternative interpretations/explanations and students own experiences/understanding of the world;</li><li>Analyse and contextualise historical developments in European history, identifying patterns and continuities in addition to changes;</li><li>Offer evaluations of European history based on critical thinking and an understanding of historical methodology and the use of primary and secondary sources.</li></ul>","HIS122","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000001nEKAQ","[LearningCourse]","Independent Study","","Upon successful completion of this course, students will be able to: –; –; –; –; –; –.","HUM599","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000002JNKAY","[LearningCourse]","Politics I","This course aims to teach the process and structure of political systems, states and governments from a comparative
perspective. Starting from political ideologies, regimes and state institutions, we will move toward the relationship
between the citizen and the state (voting, organization of parties, interest groups). Drawing from comparative case
studies, it is hoped that students will learn to think analytically about how politics function in a variety of settings
and come to appreciate different ways to understand it. Towards this goal, classes will aim to both provide
important background to the topics each week as well as to allow time for discussion of the readings.","<p>Upon completion of this course, students will be able to:</p><ul><li>Understand the basic concepts, structures and theories used in comparative politics;</li><li>Know the ways governments operate, are elected and formed in democratic and autocratic systems;</li><li>Know the role of media and political movements and interest groups in the realm of politics, campaigns and policy formation;</li><li>Critically apply the theoretical concepts onto various data sets within case studies and present their views in an oral presentation or a written essay.</li></ul>","POS101","School of International Relations and Diplomacy","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000002JSKAY","[LearningCourse]","Introduction to Philosophy","In this course students will be introduced to the key philosophical debates and to the thought of the greatest minds
within the Western philosophical tradition. The students will have an opportunity at once to (a) explore the most
fundamental philosophical questions (concerning the nature of reality, the limits of human knowledge, the basis
of morality, etc.), (b) to acquaint themselves with the ideas of history’s greatest philosophers (from Socrates to
Wittgenstein), and (c) to read and analyze fragments of some of the most famous philosophical works.","<p>Upon completion of this course, students will be able to:</p><ul><li>Comprehend and have a clear understanding of the main philosophical questions and of the main positions taken in the central philosophical debates;</li><li>Outline and analyze the most important ideas of history’s greatest philosophers;</li><li>Compare and contrast the ways in which various philosophers justify their claims and defend their philosophical positions.</li></ul>","PHI125","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000002JTKAY","[LearningCourse]","Composition I","The course is designed to develop and improve students’ critical thinking skills, originality and ability to writein
English across a variety of genres. The course emphasizes: writing as process, audience awareness and appropriate
stylistic choices, and the production of cohesive, coherently structured, concise and accurate texts. Students are
introduced to academic research and citation formats.","<p>Upon completion of this course, students will be able to:</p><ul><li>Understand the writing process generating, researching and focusing ideas, outlining, drafting, revising and editing;</li><li>Understand the communicative aspects of writing, i.e., audience and context and how these effect vocabulary choice and tone;</li><li>Be familiar with the different academic genres their structures and content; for example, illustration, narration, and exposition;</li><li>Produce paragraphs and essays that conform to academic structure and content, having clear topic sentences and thesis statements, relevant supports and smooth transitions;</li><li>Display a firm grasp of mechanics of English spelling, punctuation and grammar, and academic conventions;</li><li>Recognise and apply proper citation formats;</li><li>Recognise and avoid all forms of plagiarism.</li></ul>","COM101","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2023/24 Spring Term"
